Role,Degree,Subject,Interests,UserId,Name
Student,Masters,Computer Science,"""Machine Learning"", ""Data Science""",ia3hrqj2s0k8o5cbpfgsdusn,Omar Chaudhry
Faculty,Masters,Software Engineering,"""Software Development""",56c7to9rxnobbpfilzxh1dvz,Usman Iqbal
Student,Masters,Software Engineering,"""Software Development""",wlp38cnlizkd3rklup9dpxn5,Fatima Raza
Student,Bachelors,Software Engineering,"""Artificial Intelligence""",penfvo0kq5ogc3gi8rswwnoi,Ahmed Khan
Faculty,Masters,Computer Science,"""Networking"", ""Artificial Intelligence"", ""Data Science""",11ho8t8sqtwuepocw5dl9btd,Ahmed Javed
Industrial,Doctorate,Software Engineering,"""Machine Learning"", ""Data Science""",7d98h7d593dy7gggk8ragz8x,Zainab Javed
Faculty,Masters,Data Science,"""Networking"", ""Machine Learning"", ""Human Computer Interaction""",dzoei4eg1pjk7mbeh2uhpdxk,Ahmed Butt
Student,Doctorate,Computer Science,"""Networking""",1x285ibhvn5j2qdj1k4as7u7,Hina Raza
Student,Bachelors,Computer Science,"""Software Development"", ""Human Computer Interaction""",1rpgtwf6tvqqnper9bz8xjmf,Ahmed Malik
Industrial,Bachelors,Computer Science,"""Artificial Intelligence""",364sv0mqzmjmesxlzhvddgey,Zainab Hussain
Industrial,Doctorate,Computer Science,"""Networking"", ""Human Computer Interaction"", ""Software Development""",i9xcugrujjz88mfjafkgdbik,Omar Sheikh
Industrial,Doctorate,Software Engineering,"""Machine Learning"", ""Human Computer Interaction""",0754161ilqhj5ca3ik5ng9am,Sara Javed
Faculty,Masters,Computer Science,"""Machine Learning"", ""Human Computer Interaction""",eir2ip3qjfyq1r3ytedkzzmr,Zainab Ahmed
Student,Doctorate,Computer Science,"""Software Development"", ""Networking""",aaty5f937kwldieim4c31f3s,Omar Iqbal
Industrial,Bachelors,Computer Science,"""Machine Learning"", ""Data Science""",064wynzbvjte9mcfb9zfocr3,Ali Malik
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction""",mmp2jtmy3uwiqt0gfg0nh0b7,Zainab Malik
Industrial,Doctorate,Software Engineering,"""Machine Learning"", ""Data Science""",bssy4a9m5l2qgy5rbh95rbq3,Omar Malik
Faculty,Masters,Computer Science,"""Networking"", ""Software Development"", ""Human Computer Interaction""",alujrf8tzt63m0oyro2tvj9o,Hina Malik
Student,Bachelors,Computer Science,"""Software Development"", ""Human Computer Interaction""",qcti8th1qtrht3wgcxfr6s3j,Omar Chaudhry
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Networking""",4x8qgunl28fddifyk5zg8epi,Ali Malik
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning"", ""Artificial Intelligence"", ""Data Science""",v6isrrzf6m60kguogbl5ba5v,Ayesha Malik
Industrial,Masters,Data Science,"""Data Science""",e6d4ni713zsdhv2i45bb5qq6,Zainab Malik
Faculty,Masters,Computer Science,"""Machine Learning""",v0ckhzgytlfcwmcjyzw0ul8i,Fatima Raza
Student,Masters,Data Science,"""Data Science"", ""Networking"", ""Artificial Intelligence""",exzl3qgxik2g3pddh27bt1v3,Zainab Butt
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Software Development"", ""Networking""",z5otpx04eb4gw04bhtq0ypdr,Ahmed Raza
Student,Masters,Software Engineering,"""Human Computer Interaction"", ""Machine Learning""",0flmqxijpi80olj5xw961xko,Ahmed Raza
Industrial,Masters,Data Science,"""Artificial Intelligence""",5rn9d4qt0xtfwmur1qsb207a,Omar Raza
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Machine Learning""",dn39grsy9u0akmr124713uey,Usman Chaudhry
Industrial,Doctorate,Data Science,"""Networking"", ""Software Development"", ""Artificial Intelligence""",u76nmiwbx8lypcmyjbqz5qm2,Ali Butt
Faculty,Masters,Data Science,"""Data Science"", ""Machine Learning""",k8xf6v4z53jcydqmdupcebfz,Sara Javed
Student,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Networking""",4a3h1b1jahooc3ibakltjg4a,Zainab Khan
Faculty,Masters,Data Science,"""Artificial Intelligence""",d5xax7zelt2sjaenqxmjrjz3,Omar Raza
Student,Bachelors,Computer Science,"""Machine Learning"", ""Data Science"", ""Artificial Intelligence""",jywl73w4l7z3cgoz2x2hukr5,Ayesha Chaudhry
Industrial,Masters,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Networking""",abic4zhibhtjw1c1z1hc7zva,Ayesha Raza
Faculty,Masters,Computer Science,"""Machine Learning"", ""Human Computer Interaction""",0f7qwlw8hbijiowid94q4jf7,Omar Sheikh
Student,Masters,Software Engineering,"""Software Development"", ""Data Science"", ""Machine Learning"", ""Artificial Intelligence""",r89gmnuiy4he2x0xyqkyykw7,Hassan Javed
Faculty,Masters,Computer Science,"""Data Science""",5zqbrria4cab2t9esqlfq8bw,Sara Khan
Industrial,Doctorate,Computer Science,"""Networking"", ""Human Computer Interaction""",j982cqy26ul4zz5jdukmms33,Fatima Butt
Faculty,Masters,Data Science,"""Machine Learning"", ""Data Science"", ""Software Development"", ""Human Computer Interaction""",slb61g0grj0mgpav19lm8rlb,Omar Raza
Student,Doctorate,Data Science,"""Machine Learning""",6j0acr29jrztzyfgg7ijk9o0,Sara Chaudhry
Faculty,Doctorate,Data Science,"""Machine Learning""",mt5aee5pr0vbc2bgmhmkdqw4,Zainab Javed
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Data Science""",1cixmsfasope5qj0onhmkh6s,Ahmed Khan
Faculty,Masters,Computer Science,"""Software Development"", ""Networking""",q6pk9mlqc76dzcyd98fwhe9x,Usman Hussain
Student,Bachelors,Data Science,"""Networking"", ""Software Development""",1nvq4zgfeo0anhpj3ayts9gp,Fatima Sheikh
Industrial,Doctorate,Data Science,"""Data Science""",7x55zr6wv5ymn1mo1p5rmu6j,Zainab Chaudhry
Student,Doctorate,Software Engineering,"""Artificial Intelligence""",oc2u459ue2u4e7arll36n41c,Ahmed Khan
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Data Science""",axdjia5j3lyhhh60enst7jan,Ali Khan
Industrial,Bachelors,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Data Science"", ""Software Development""",tcerlvrnbzqsxwm3izu0qwk1,Fatima Chaudhry
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Software Development"", ""Data Science""",njed21a80cbjxxlrhqs7dx1h,Ayesha Hussain
Faculty,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Machine Learning"", ""Software Development""",st2ty64s7g7hcca8q3uj1jsx,Fatima Javed
Faculty,Masters,Data Science,"""Data Science"", ""Artificial Intelligence""",zfyexucjmtura8irjfvkwziy,Ali Iqbal
Industrial,Doctorate,Data Science,"""Data Science""",wk9xnkshirzitmf54wsugeg9,Fatima Khan
Industrial,Masters,Software Engineering,"""Machine Learning"", ""Artificial Intelligence"", ""Networking""",kkhtlqg8czbb3o6g5r04xgi7,Hassan Sheikh
Faculty,Masters,Computer Science,"""Data Science""",fr91shm2mdlmmopxd5imgl7j,Ali Khan
Student,Doctorate,Data Science,"""Machine Learning""",8mvzd751umln7kkzpgycuxin,Ali Sheikh
Student,Doctorate,Computer Science,"""Human Computer Interaction"", ""Machine Learning"", ""Networking"", ""Software Development""",i771knczn1c33hg37abd2xdk,Ahmed Malik
Student,Doctorate,Software Engineering,"""Software Development"", ""Data Science"", ""Artificial Intelligence""",2m3xnt45zp4zezudqovpl1dd,Zainab Hussain
Industrial,Doctorate,Computer Science,"""Human Computer Interaction""",153594w82tx12ikjdkjzaz3p,Hina Malik
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Software Development"", ""Machine Learning""",b9buf5yph2xxkga8pg8w3jzi,Sara Khan
Faculty,Masters,Computer Science,"""Software Development"", ""Machine Learning""",oi7t6hs2kosp2ww301ufvwe0,Fatima Butt
Faculty,Masters,Data Science,"""Machine Learning"", ""Human Computer Interaction"", ""Software Development"", ""Data Science""",ws4odk99wizg050x68qh364w,Sara Javed
Industrial,Doctorate,Computer Science,"""Data Science"", ""Networking""",hid3v26nx5ek4qi775mrfdyn,Sara Malik
Faculty,Masters,Data Science,"""Machine Learning""",o53jqdl5nswvpli239qlnxs3,Ahmed Butt
Faculty,Masters,Computer Science,"""Networking"", ""Machine Learning"", ""Data Science""",iee3dvnwurchw8obe4bgnq9g,Omar Javed
Faculty,Masters,Data Science,"""Networking""",p5oxtfexjzae4n6csvcmrz36,Ali Raza
Faculty,Doctorate,Computer Science,"""Data Science""",sv69qpufavkbkpryqwkfumtk,Hina Raza
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence"", ""Data Science""",vezvrj20akz325gsm9hqcpwt,Hina Chaudhry
Student,Masters,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Networking"", ""Software Development""",iak62juilbccyao6ehgbly1l,Hassan Raza
Faculty,Masters,Data Science,"""Networking""",heo69xzzjf4lnqpjl8dkilut,Zainab Chaudhry
Industrial,Masters,Software Engineering,"""Networking"", ""Artificial Intelligence""",6rikb4a8smv41no8l4wokzu8,Ahmed Javed
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Human Computer Interaction""",kr58cfu4swa9741bsnmf01me,Sara Hussain
Industrial,Doctorate,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Software Development"", ""Machine Learning""",gd9zuba5zna09jqa396blr7o,Hassan Chaudhry
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Human Computer Interaction""",ux0hz0pkz24k6r2t341xz596,Hassan Butt
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Human Computer Interaction""",r909obaiu2wgv8ixt19tbu5c,Ahmed Iqbal
Industrial,Doctorate,Computer Science,"""Machine Learning"", ""Human Computer Interaction""",a959o8ype81qdkc3nrpiddke,Usman Chaudhry
Student,Doctorate,Computer Science,"""Networking""",llk9emsqfotchyx52t80ptq3,Ahmed Ahmed
Industrial,Doctorate,Software Engineering,"""Data Science""",ud8xrg4azl4m73mt5rsi3m80,Fatima Javed
Faculty,Masters,Data Science,"""Networking""",nwf50471zz8ukqj2mnzo0ow2,Ayesha Sheikh
Industrial,Doctorate,Data Science,"""Artificial Intelligence""",nl2oukc6cgxo9xqw7uigw0h1,Usman Malik
Faculty,Masters,Software Engineering,"""Networking"", ""Artificial Intelligence""",d3jb2v6iso0plgkwyl2cndv6,Ahmed Javed
Student,Bachelors,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Machine Learning""",9qzmb3hbh2hc4n5vag6pvttf,Ahmed Ahmed
Student,Bachelors,Software Engineering,"""Artificial Intelligence""",yepcmnz8so3ydt78an6ts8rw,Hassan Hussain
Student,Bachelors,Data Science,"""Software Development"", ""Machine Learning""",rz6ydz5rn0pza7qaghy5um4d,Usman Malik
Faculty,Masters,Computer Science,"""Human Computer Interaction""",ndtenozn56oo67owen71b7z6,Fatima Butt
Faculty,Masters,Software Engineering,"""Data Science"", ""Human Computer Interaction""",2t5mk9zlqb9v2sa6m8pejfmq,Hina Ahmed
Industrial,Bachelors,Computer Science,"""Software Development"", ""Data Science""",rvtvm8deqxu1395fkf98kwq3,Sara Sheikh
Student,Doctorate,Data Science,"""Networking"", ""Data Science""",37s4jobtxxdp5mrwc0ylj9vl,Ali Malik
Industrial,Masters,Data Science,"""Software Development""",oipe2c32tdhz57mmaqglck8e,Ali Khan
Faculty,Doctorate,Data Science,"""Artificial Intelligence"", ""Machine Learning"", ""Software Development"", ""Human Computer Interaction""",yxaoroj47nihk17j8lb94n77,Ali Iqbal
Faculty,Doctorate,Data Science,"""Data Science"", ""Machine Learning""",o6p7xhtzyw0v1pgcz0p0sxh4,Usman Butt
Student,Doctorate,Data Science,"""Machine Learning"", ""Human Computer Interaction""",ig0lzwg3vpa69w9yxmdqy40v,Ali Butt
Industrial,Masters,Software Engineering,"""Machine Learning"", ""Artificial Intelligence""",ik762diausra0fno7s6i515g,Zainab Sheikh
Industrial,Masters,Data Science,"""Machine Learning"", ""Human Computer Interaction""",081t2c9et2lsdpwwpjg8u2n2,Hina Sheikh
Student,Doctorate,Data Science,"""Networking"", ""Machine Learning"", ""Software Development""",had8s2ph45dkt2z6fna3f0r1,Fatima Khan
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Software Development"", ""Data Science""",ocp5gyzji6kry0u4792mxx7d,Ali Raza
Student,Doctorate,Data Science,"""Data Science""",w5u7wojq1wuocf55a5830xaj,Hina Iqbal
Student,Doctorate,Computer Science,"""Software Development"", ""Machine Learning"", ""Networking""",thg5p5lafg1r1agyswbb9q3d,Sara Hussain
Student,Bachelors,Data Science,"""Software Development""",5iwoty02z0349yewmgpwpqsn,Fatima Raza
Industrial,Masters,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Data Science"", ""Machine Learning""",vkt14tw61xvjqveahnwiia12,Ayesha Raza
Faculty,Doctorate,Computer Science,"""Human Computer Interaction"", ""Machine Learning"", ""Artificial Intelligence""",du8mve9436wrdeq3brtis2uo,Fatima Javed
Faculty,Masters,Computer Science,"""Machine Learning"", ""Data Science"", ""Human Computer Interaction"", ""Software Development""",bbqmb1bomp8r35yhwelmlgin,Ayesha Ahmed
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Software Development"", ""Networking""",mnc955us5exktdqlppneazux,Zainab Butt
Faculty,Doctorate,Software Engineering,"""Software Development"", ""Networking""",iv410kqbq0xrb14co9he0p18,Sara Javed
Industrial,Bachelors,Computer Science,"""Networking"", ""Data Science"", ""Human Computer Interaction"", ""Software Development""",hsjhhrxitl1eyrtu8ibceinp,Ayesha Ahmed
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Networking"", ""Human Computer Interaction""",oo90891pykizh2caiyrzghel,Ahmed Iqbal
Faculty,Masters,Software Engineering,"""Data Science"", ""Artificial Intelligence"", ""Software Development""",b7wojwnhko9b1886svvbylay,Ayesha Ahmed
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",hp9r29q657e38122pnmr7r3a,Usman Javed
Faculty,Masters,Computer Science,"""Software Development"", ""Data Science"", ""Machine Learning""",kt0epilqntx4402c3glmfq7g,Sara Khan
Industrial,Doctorate,Software Engineering,"""Software Development"", ""Data Science"", ""Networking""",uu2nqptzfkohida5108l9apz,Usman Malik
Student,Bachelors,Software Engineering,"""Artificial Intelligence"", ""Machine Learning"", ""Data Science"", ""Human Computer Interaction""",dz9dbjhevigfqzulbfpmmmbc,Omar Ahmed
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Machine Learning"", ""Artificial Intelligence""",beli9r1gn5lhb81ab7jgpyo9,Hassan Sheikh
Student,Bachelors,Computer Science,"""Data Science""",4q9qqwcrzdm1dqu8qm4jdn13,Zainab Butt
Faculty,Masters,Data Science,"""Software Development"", ""Artificial Intelligence""",cf3uqay26ij69trpm0ntv0nc,Fatima Chaudhry
Faculty,Masters,Software Engineering,"""Networking"", ""Software Development""",w5bbpt6l47xwywvu7hrpkk7o,Hina Butt
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Software Development""",pmorn3fbscqfmf7v6jwaxh4q,Ali Malik
Faculty,Masters,Data Science,"""Machine Learning"", ""Data Science"", ""Artificial Intelligence""",dw4uhuir3yflbmg26cs39rjt,Hassan Chaudhry
Student,Bachelors,Software Engineering,"""Machine Learning"", ""Networking""",h5godhrxwswojpqarrzwczfz,Hassan Raza
Faculty,Masters,Computer Science,"""Data Science"", ""Artificial Intelligence""",4fhqk0p1pgdrmjqh7y68pocq,Zainab Hussain
Student,Masters,Computer Science,"""Human Computer Interaction"", ""Machine Learning""",ogl7o5ur0zizgpbs4oktw2n9,Sara Chaudhry
Student,Bachelors,Software Engineering,"""Networking""",czhyecpnmp5ars8542hpef5q,Zainab Sheikh
Industrial,Doctorate,Data Science,"""Data Science"", ""Software Development""",efz85ubiqso0y3jmq93f9w8g,Ahmed Javed
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence""",j466bmkwpriu1zqqfurla4ob,Zainab Malik
Faculty,Masters,Computer Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning""",d58i6yavh5kw3ml2fi09f47u,Usman Malik
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Machine Learning"", ""Networking"", ""Software Development""",h22mrbxcb014uzp7v37af3hr,Hassan Ahmed
Student,Masters,Computer Science,"""Data Science"", ""Machine Learning"", ""Artificial Intelligence""",7ctixlstrk0nz8658xnwhzyk,Ali Butt
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",2cwiat09fcc6lr1wjzk08lem,Hina Butt
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence""",46ikwxqd4qdf3roimxtvl6u4,Omar Javed
Industrial,Bachelors,Software Engineering,"""Software Development""",vv85nrp2tnpd0ee55mvao7jr,Hina Sheikh
Industrial,Doctorate,Data Science,"""Data Science""",sjo5q9baya0ujnq26bggp3fe,Usman Chaudhry
Faculty,Masters,Computer Science,"""Data Science""",0ulhraarylsck24kcggu81dr,Omar Malik
Faculty,Masters,Software Engineering,"""Networking"", ""Data Science"", ""Human Computer Interaction""",yrvn26ee2g351plit0tjorzh,Omar Butt
Faculty,Masters,Software Engineering,"""Data Science""",2nuffwpbztbq2r83494u1q6l,Ahmed Chaudhry
Student,Bachelors,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Data Science"", ""Software Development""",w46j3f7g90ghb4l68hhj3a2l,Zainab Raza
Student,Doctorate,Software Engineering,"""Networking""",drw0ak18vj3h15pm817djx6c,Zainab Iqbal
Faculty,Doctorate,Data Science,"""Software Development"", ""Artificial Intelligence""",i2net6fat7hdrnxni0atzv4z,Ayesha Raza
Student,Masters,Computer Science,"""Networking"", ""Human Computer Interaction"", ""Software Development""",dn454gg19aukobgluc9pv9ov,Ahmed Chaudhry
Faculty,Doctorate,Software Engineering,"""Software Development"", ""Artificial Intelligence""",bt117kf37gt5oafzf9b4hyfd,Zainab Malik
Faculty,Masters,Computer Science,"""Machine Learning""",qz2ph2i21kjte9xvlalw8wq2,Zainab Iqbal
Faculty,Masters,Data Science,"""Data Science""",s9bmvfg3u54oa2w96ktz8p8c,Hina Ahmed
Industrial,Bachelors,Computer Science,"""Networking"", ""Human Computer Interaction"", ""Software Development"", ""Machine Learning""",2wcya4h2byywc86u2kqzjmnf,Usman Malik
Student,Masters,Data Science,"""Human Computer Interaction""",n8apnwylo4pjuubwlvvxivhl,Zainab Ahmed
Student,Masters,Data Science,"""Artificial Intelligence"", ""Networking""",2byaeykhilmctkcr7xqjmutx,Usman Ahmed
Industrial,Doctorate,Software Engineering,"""Networking""",mhg93fdlifondkfgpw2keqe3,Ali Raza
Industrial,Doctorate,Software Engineering,"""Software Development"", ""Data Science""",qyfih6623et9pdyjdii05yzg,Omar Javed
Student,Bachelors,Computer Science,"""Software Development"", ""Human Computer Interaction"", ""Artificial Intelligence"", ""Data Science""",ki9lr692fav6raizat65ad6d,Fatima Raza
Student,Doctorate,Software Engineering,"""Human Computer Interaction""",fvrnztijy6tvcg9yp5aekyht,Usman Khan
Industrial,Doctorate,Data Science,"""Networking"", ""Machine Learning""",cpqkvilr9np1olc750zijxsn,Omar Javed
Student,Masters,Software Engineering,"""Machine Learning""",dqc7kygakatstgqm62dk6wu0,Fatima Raza
Industrial,Bachelors,Computer Science,"""Data Science"", ""Machine Learning""",1ejuxx94dtyri2hhp5xsw08d,Ahmed Iqbal
Faculty,Doctorate,Computer Science,"""Data Science""",2iltzd460c5neqa7sdd41f0v,Omar Hussain
Faculty,Masters,Software Engineering,"""Data Science"", ""Software Development""",v5lcyyazls940zerlvtrnkp6,Fatima Malik
Faculty,Masters,Computer Science,"""Networking"", ""Human Computer Interaction"", ""Machine Learning"", ""Data Science""",p5hy1ko1q626brnf2w2kb6v0,Fatima Ahmed
Student,Masters,Data Science,"""Artificial Intelligence""",q8nfjell6f99u4q0mxybio30,Hassan Iqbal
Faculty,Masters,Software Engineering,"""Machine Learning"", ""Networking""",e96e7l6uxq81trxaks6ykn27,Ali Chaudhry
Faculty,Masters,Computer Science,"""Software Development"", ""Machine Learning""",mmo710rsluhio72fk80nwc7c,Usman Sheikh
Student,Doctorate,Software Engineering,"""Data Science""",1el88ze5a814tkkd1z0b97kc,Fatima Javed
Industrial,Doctorate,Data Science,"""Data Science""",cp7yjy2yrmqqghn5v5y2ajui,Omar Malik
Faculty,Masters,Software Engineering,"""Software Development"", ""Data Science"", ""Networking"", ""Human Computer Interaction""",jdblyp0nan3b0692tmn3ol6g,Ayesha Chaudhry
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Machine Learning""",k9txftjiz69w480j844gppju,Sara Khan
Faculty,Masters,Computer Science,"""Machine Learning"", ""Networking""",owftlbbb1al3mhvaiq0m4q3b,Hassan Ahmed
Student,Masters,Computer Science,"""Machine Learning""",ffqrksjohyer2r7e277gfuuo,Zainab Javed
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Software Development""",oxqzkhs2j1cz8miv4mm8qdnb,Fatima Iqbal
Student,Bachelors,Software Engineering,"""Machine Learning"", ""Data Science"", ""Human Computer Interaction"", ""Networking""",sr9jsjymr711c1290l9bc5ic,Usman Iqbal
Student,Doctorate,Computer Science,"""Data Science"", ""Human Computer Interaction""",d3wtzw849k6d2eel2oe1jaxr,Hina Iqbal
Industrial,Doctorate,Data Science,"""Artificial Intelligence""",3izxzsbhhrlnc613ws6u7ku9,Ahmed Malik
Faculty,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Networking""",ooprgo3l26og52rqy9lnf2y1,Hina Javed
Faculty,Masters,Data Science,"""Artificial Intelligence""",8667qx92y6kcswfuz8hik6io,Usman Ahmed
Faculty,Masters,Software Engineering,"""Data Science"", ""Networking""",of8h1bkpm82f2z4veuoptewn,Sara Iqbal
Faculty,Masters,Computer Science,"""Human Computer Interaction""",rqvuy2gh2x047caibyd8px6r,Ali Chaudhry
Industrial,Doctorate,Data Science,"""Networking""",xlrhvo2wpg76j3oybp56esul,Usman Khan
Student,Masters,Data Science,"""Networking"", ""Data Science"", ""Machine Learning"", ""Human Computer Interaction""",7c7gca7y8mv1fe7a44o4n5wv,Ali Ahmed
Student,Masters,Data Science,"""Human Computer Interaction"", ""Machine Learning""",gc3hp71gq0sf599o94ynvtyd,Zainab Chaudhry
Faculty,Doctorate,Data Science,"""Data Science"", ""Artificial Intelligence""",487pyjcmu4n7qscqeb590roc,Sara Raza
Faculty,Masters,Data Science,"""Machine Learning""",6032vbh08lgrpdwiq1esfjs9,Hina Ahmed
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Software Development"", ""Networking""",rq4vl32x5dajjhjq08yt8vll,Usman Raza
Student,Doctorate,Data Science,"""Human Computer Interaction""",unkhie93ev5nlqemoos843co,Usman Raza
Student,Bachelors,Data Science,"""Software Development"", ""Networking"", ""Machine Learning""",zzlm3pn72ftnx8ksa04pod5f,Ali Khan
Student,Masters,Computer Science,"""Data Science""",wskrdftesvtsjs12ojnw8b2s,Ali Ahmed
Student,Doctorate,Computer Science,"""Networking"", ""Machine Learning"", ""Human Computer Interaction""",koij2db7lzccv0qmupgc5d23,Sara Iqbal
Faculty,Masters,Computer Science,"""Artificial Intelligence""",bgfdec9acounxwea49gf8aqe,Zainab Chaudhry
Student,Bachelors,Software Engineering,"""Software Development""",vocdufrlqndn4ljqbbr37dph,Hassan Sheikh
Faculty,Masters,Data Science,"""Data Science"", ""Software Development""",2roebv9wejv6snjaof0try4u,Usman Iqbal
Industrial,Masters,Software Engineering,"""Machine Learning""",yy8zpcm6a4q34s9ocyn1lnez,Usman Chaudhry
Student,Doctorate,Software Engineering,"""Software Development""",x5qvncm2ebym6eehiifqdi76,Ahmed Hussain
Faculty,Doctorate,Data Science,"""Software Development""",e75zq4f27z18z7bkdj69jdgo,Hassan Khan
Student,Doctorate,Software Engineering,"""Human Computer Interaction""",epojyf4fwf5ccgshg476om1y,Zainab Khan
Student,Doctorate,Data Science,"""Machine Learning""",wq2q9lo57xbuqj2y07xljwey,Ayesha Ahmed
Industrial,Bachelors,Software Engineering,"""Networking"", ""Human Computer Interaction"", ""Machine Learning"", ""Software Development""",94ht6dh0eqilge92tifg8585,Ali Malik
Student,Bachelors,Data Science,"""Networking"", ""Artificial Intelligence""",x76d39oob62p0re9vmbvqael,Ali Raza
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Data Science"", ""Machine Learning""",hfgo43lhu22km63z2w8g3xkw,Hina Iqbal
Student,Bachelors,Data Science,"""Artificial Intelligence"", ""Software Development"", ""Data Science""",4xgy1xuk14iedfype0d3838j,Usman Khan
Student,Bachelors,Software Engineering,"""Machine Learning""",1pktecbaeay8a8fh6l9ajr82,Ayesha Chaudhry
Student,Masters,Data Science,"""Networking"", ""Artificial Intelligence""",dhuktb45cl6pll9wjl03zn4w,Ali Khan
Industrial,Masters,Computer Science,"""Networking"", ""Software Development""",b553sezqkwh1g2cuhso8r0u6,Sara Sheikh
Industrial,Doctorate,Data Science,"""Networking"", ""Data Science""",s4ce1j5e8i248t35yoytcyv2,Hassan Sheikh
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Machine Learning""",6tefecy5sd4afm728iqsnsl0,Omar Hussain
Student,Bachelors,Computer Science,"""Networking"", ""Software Development"", ""Human Computer Interaction""",4a7axtxbfw8rlycdw2mcwp9r,Ayesha Sheikh
Industrial,Masters,Data Science,"""Networking"", ""Machine Learning""",tiywj4tfyyfgpuex51peb9qr,Usman Ahmed
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Data Science""",3ni3ukvpfu92x9auswtvg9b9,Sara Khan
Student,Doctorate,Software Engineering,"""Data Science"", ""Machine Learning""",0xih7j4k9pwbdax09ddkym1d,Ahmed Hussain
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Software Development""",ik56w6n3s6a7vtq85rfgnecs,Ayesha Sheikh
Faculty,Doctorate,Data Science,"""Machine Learning"", ""Human Computer Interaction"", ""Artificial Intelligence""",t5xfs14917i7ii5soja6femb,Hassan Hussain
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Machine Learning""",c06xe73ie2hpo46ays79du7a,Ayesha Sheikh
Faculty,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Artificial Intelligence""",16xjyij1fuskjaqxti34k4wa,Hina Chaudhry
Industrial,Masters,Software Engineering,"""Human Computer Interaction""",3nwce1ivji2xo0vl2eoqr66i,Usman Sheikh
Student,Masters,Computer Science,"""Software Development"", ""Machine Learning"", ""Data Science"", ""Human Computer Interaction""",b4gr3d7nosis6tv9jf5ws7dl,Hassan Khan
Student,Bachelors,Computer Science,"""Artificial Intelligence"", ""Networking""",am0zmr70s5mfskto3se8nf37,Sara Raza
Student,Doctorate,Data Science,"""Software Development"", ""Human Computer Interaction""",cgbhdlct6mg4r6e6bc2lt1pm,Fatima Hussain
Faculty,Doctorate,Computer Science,"""Machine Learning""",m4ut5exwkdf0ozhb5q0cmzxl,Hina Malik
Student,Bachelors,Software Engineering,"""Machine Learning"", ""Data Science""",dw6mgywv0uxh5pzkpxwmmqte,Hassan Sheikh
Student,Doctorate,Software Engineering,"""Software Development"", ""Data Science""",vwlc5lp0w7uf1lvjezz58vhb,Ahmed Chaudhry
Industrial,Doctorate,Computer Science,"""Networking""",7mtsl1kk5kv60z5c0g5e0tmf,Ahmed Ahmed
